benchmark,smt,event,duration,result
FASTJSON-39_1,smt-37,check,18,false
FASTJSON-39_1,smt-37,solve,24,UNSAT
FASTJSON-39_1,smt-37,update,0,
FASTJSON-39_1,smt-1,check,1,false
FASTJSON-39_1,smt-1,solve,2,SAT
FASTJSON-39_1,smt-31,check,3,false
FASTJSON-39_1,smt-31,solve,2,SAT
FASTJSON-39_1,smt-7,check,0,false
FASTJSON-39_1,smt-7,solve,14,UNSAT
FASTJSON-39_1,smt-7,update,0,
FASTJSON-39_1,smt-27,check,2,false
FASTJSON-39_1,smt-27,solve,3,UNSAT
FASTJSON-39_1,smt-27,update,0,
FASTJSON-39_1,smt-18,check,3,false
FASTJSON-39_1,smt-18,solve,2243,SAT
FASTJSON-39_1,smt-4,check,0,false
FASTJSON-39_1,smt-4,solve,11,UNSAT
FASTJSON-39_1,smt-4,update,0,
FASTJSON-39_1,smt-24,check,0,false
FASTJSON-39_1,smt-24,solve,1,SAT
FASTJSON-39_1,smt-36,check,0,false
FASTJSON-39_1,smt-36,solve,2,SAT
FASTJSON-39_1,smt-38,check,1,false
FASTJSON-39_1,smt-38,solve,344,SAT
FASTJSON-39_1,smt-25,check,1,false
FASTJSON-39_1,smt-25,solve,35,UNSAT
FASTJSON-39_1,smt-25,update,0,
FASTJSON-39_1,smt-32,check,2,false
FASTJSON-39_1,smt-32,solve,365,SAT
FASTJSON-39_1,smt-30,check,0,false
FASTJSON-39_1,smt-30,solve,376,SAT
FASTJSON-39_1,smt-40,check,0,false
FASTJSON-39_1,smt-40,solve,373,SAT
FASTJSON-39_1,smt-20,check,0,false
FASTJSON-39_1,smt-20,solve,1,SAT
FASTJSON-39_1,smt-3,check,0,false
FASTJSON-39_1,smt-3,solve,239,SAT
FASTJSON-39_1,smt-10,check,0,false
FASTJSON-39_1,smt-10,solve,348,SAT
FASTJSON-39_1,smt-13,check,0,false
FASTJSON-39_1,smt-13,solve,1,SAT
FASTJSON-39_1,smt-17,check,0,false
FASTJSON-39_1,smt-17,solve,338,SAT
FASTJSON-39_1,smt-21,check,0,false
FASTJSON-39_1,smt-21,solve,333,SAT
FASTJSON-39_1,smt-26,check,0,false
FASTJSON-39_1,smt-26,solve,348,SAT
FASTJSON-39_1,smt-39,check,0,false
FASTJSON-39_1,smt-39,solve,2,UNSAT
FASTJSON-39_1,smt-39,update,0,
FASTJSON-39_1,smt-2,check,0,false
FASTJSON-39_1,smt-2,solve,1,SAT
FASTJSON-39_1,smt-8,check,0,false
FASTJSON-39_1,smt-8,solve,1,UNSAT
FASTJSON-39_1,smt-8,update,0,
FASTJSON-39_1,smt-19,check,0,false
FASTJSON-39_1,smt-19,solve,332,SAT
FASTJSON-39_1,smt-33,check,1,false
FASTJSON-39_1,smt-33,solve,1581,SAT
FASTJSON-39_1,smt-35,check,0,false
FASTJSON-39_1,smt-35,solve,21,UNSAT
FASTJSON-39_1,smt-35,update,0,
FASTJSON-39_1,smt-28,check,0,false
FASTJSON-39_1,smt-28,solve,375,SAT
FASTJSON-39_1,smt-34,check,0,false
FASTJSON-39_1,smt-34,solve,2,SAT
FASTJSON-39_1,smt-11,check,0,false
FASTJSON-39_1,smt-11,solve,339,SAT
FASTJSON-39_1,smt-16,check,0,false
FASTJSON-39_1,smt-16,solve,1,SAT
FASTJSON-39_1,smt-9,check,0,false
FASTJSON-39_1,smt-9,solve,355,SAT
FASTJSON-39_1,smt-12,check,0,false
FASTJSON-39_1,smt-12,solve,1,SAT
FASTJSON-39_1,smt-22,check,0,false
FASTJSON-39_1,smt-22,solve,344,SAT
FASTJSON-39_1,smt-41,check,0,false
FASTJSON-39_1,smt-41,solve,348,SAT
FASTJSON-39_1,smt-6,check,0,false
FASTJSON-39_1,smt-6,solve,1,SAT
FASTJSON-39_1,smt-29,check,0,false
FASTJSON-39_1,smt-29,solve,371,SAT
FASTJSON-39_1,smt-5,check,1,false
FASTJSON-39_1,smt-5,solve,2006,SAT
FASTJSON-39_1,smt-15,check,0,false
FASTJSON-39_1,smt-15,solve,312,SAT
FASTJSON-39_1,smt-14,check,0,false
FASTJSON-39_1,smt-14,solve,1,SAT
FASTJSON-39_1,smt-23,check,0,false
